RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-06-30,2022-08-31,2023-05-31
394980,376,"Pine Bluff, AR",Msa,AR,2022-05-31,0.8,2.6,5.9
395168,377,"Tullahoma, TN",Msa,TN,2022-05-31,2.3,6.3,14.7
395023,378,"Richmond, KY",Msa,KY,2022-05-31,1.0,3.2,7.8
394302,379,"Adrian, MI",Msa,MI,2022-05-31,1.6,4.4,9.7
395173,380,"Twin Falls, ID",Msa,ID,2022-05-31,1.4,4.6,15.3
394501,381,"Corning, NY",Msa,NY,2022-05-31,5.3,9.8,13.1
395080,382,"Sebring, FL",Msa,FL,2022-05-31,2.3,6.3,15.2
395166,383,"Truckee, CA",Msa,CA,2022-05-31,0.6,2.8,7.2
394953,384,"Paducah, KY",Msa,KY,2022-05-31,0.7,3.1,6.1
394637,385,"Grand Forks, ND",Msa,ND,2022-05-31,1.3,3.3,4.3
395090,386,"Shelby, NC",Msa,NC,2022-05-31,2.2,5.4,9.6
394580,387,"Fairbanks, AK",Msa,AK,2022-05-31,-0.7,0.3,0.6
394928,388,"Ocean City, NJ",Msa,NJ,2022-05-31,1.2,4.2,11.1
394823,389,"Mankato, MN",Msa,MN,2022-05-31,1.1,3.3,6.8
395038,390,"Rome, GA",Msa,GA,2022-05-31,1.8,4.9,12.4
394441,391,"Cape Girardeau, MO",Msa,MO,2022-05-31,1.3,3.7,8.5
394689,392,"Hot Springs, AR",Msa,AR,2022-05-31,1.6,4.7,11.9
394655,393,"Greenwood, SC",Msa,SC,2022-05-31,1.0,3.0,6.4
395140,394,"Sunbury, PA",Msa,PA,2022-05-31,0.6,2.1,5.0
394469,395,"Clarksburg, WV",Msa,WV,2022-05-31,0.5,1.9,4.5
395190,396,"Victoria, TX",Msa,TX,2022-05-31,0.9,5.4,12.0
395145,397,"Talladega, AL",Msa,AL,2022-05-31,1.1,3.1,7.3
394542,398,"Dubuque, IA",Msa,IA,2022-05-31,2.2,7.5,14.3
395153,399,"The Villages, FL",Msa,FL,2022-05-31,2.9,6.7,13.2
394311,400,"Albertville, AL",Msa,AL,2022-05-31,1.2,3.5,9.9
394821,401,"Manhattan, KS",Msa,KS,2022-05-31,0.5,1.9,4.0
394964,402,"Parkersburg, WV",Msa,WV,2022-05-31,1.9,4.6,8.3
394911,403,"New Philadelphia, OH",Msa,OH,2022-05-31,1.6,5.0,9.0
394942,404,"Orangeburg, SC",Msa,SC,2022-05-31,0.7,2.2,3.9
394462,405,"Cheyenne, WY",Msa,WY,2022-05-31,1.5,3.5,7.2
394907,406,"New Castle, PA",Msa,PA,2022-05-31,1.9,5.0,10.0
394410,407,"Brainerd, MN",Msa,MN,2022-05-31,1.1,4.0,11.0
394733,408,"Kalispell, MT",Msa,MT,2022-05-31,2.1,6.9,21.0
395086,409,"Sevierville, TN",Msa,TN,2022-05-31,2.1,6.3,18.2
394325,410,"Ames, IA",Msa,IA,2022-05-31,0.2,1.6,3.3
394407,411,"Bozeman, MT",Msa,MT,2022-05-31,1.2,3.7,11.6
394882,412,"Moses Lake, WA",Msa,WA,2022-05-31,1.9,5.3,12.6
394704,413,"Indiana, PA",Msa,PA,2022-05-31,0.4,1.9,4.6
394568,414,"Elmira, NY",Msa,NY,2022-05-31,0.0,2.9,8.0
